,Title,Book-Author,Image-URL-M_x,tags
153,Harry Potter and the Goblet of Fire,J. K. Rowling,http://images.amazon.com/images/P/0613496744.01.MZZZZZZZ.jpg,"['fantasy', 'young', 'adult', 'fiction', 'magic', 'childrens', 'adventure', 'audiobook', 'middle', 'grade', 'classics', 'science', 'fiction', 'fantasy', 'j.k.rowling', 'harry', 'potter', '#4']"
154,The Stranger,ALBERT CAMUS,http://images.amazon.com/images/P/0679720200.01.MZZZZZZZ.jpg,"['fantasy', 'fiction', 'russia', 'urban', 'fantasy', 'science', 'fiction', 'humor', 'magic', 'russian', 'literature', 'science', 'fiction', 'fantasy', 'audiobook', 'albertcamus', 'лабиринты', 'ехо', '#1']"
158,The Shining,Stephen King,http://images.amazon.com/images/P/0743424425.01.MZZZZZZZ.jpg,"['horror', 'fiction', 'thriller', 'classics', 'fantasy', 'mystery', 'paranormal', 'suspense', 'novels', 'adult', 'stephenking', 'the', 'shining', '#1']"
164,The Adventures of Tom Sawyer,Mark Twain,http://images.amazon.com/images/P/0812504208.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'adventure', 'young', 'adult', 'historical', 'fiction', 'literature', 'childrens', 'school', 'novels', 'american', 'marktwain', 'adventures', 'of', 'tom', 'and', 'huck', '#1']"
170,Charlie and the Chocolate Factory,ROALD DAHL,http://images.amazon.com/images/P/0375815260.01.MZZZZZZZ.jpg,"['childrens', 'fantasy', 'fiction', 'classics', 'young', 'adult', 'middle', 'grade', 'humor', 'adventure', 'juvenile', 'novels', 'roalddahl', 'charlie', 'bucket', '#1']"
178,On the Road,Jack Kerouac,http://images.amazon.com/images/P/0140042598.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'travel', 'literature', 'novels', 'american', 'adventure', '20th', 'century', 'unfinished', 'modern', 'classics', 'jackkerouac', 'duluoz', 'legend']"
188,The Shadow of the Wind,Carlos Ruiz Zafon,http://images.amazon.com/images/P/1594200106.01.MZZZZZZZ.jpg,"['fiction', 'historical', 'fiction', 'mystery', 'fantasy', 'books', 'about', 'books', 'historical', 'spain', 'spanish', 'literature', 'gothic', 'magical', 'realism', 'carlosruizzafon', 'el', 'cementerio', 'de', 'los', 'libros', 'olvidados', '#1']"
189,Harry Potter and the Chamber of Secrets,J. K. Rowling,http://images.amazon.com/images/P/0747545774.01.MZZZZZZZ.jpg,"['fantasy', 'young', 'adult', 'fiction', 'magic', 'childrens', 'middle', 'grade', 'adventure', 'audiobook', 'classics', 'science', 'fiction', 'fantasy', 'j.k.rowling', 'harry', 'potter', '#2']"
191,The Godfather,Mario Puzo,http://images.amazon.com/images/P/0451167716.01.MZZZZZZZ.jpg,"['fiction', 'classics', 'crime', 'thriller', 'historical', 'fiction', 'mystery', 'drama', 'novels', 'literature', 'american', 'mariopuzo', 'the', 'godfather', '#1']"
196,The Five People You Meet in Heaven,Mitch Albom,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,"['fiction', 'inspirational', 'contemporary', 'fantasy', 'adult', 'spirituality', 'classics', 'adult', 'fiction', 'philosophy', 'novels', 'mitchalbom', 'the', 'five', 'people', 'you', 'meet', 'in', 'heaven', '#1']"
198,The Cat in the Hat,Dr. Seuss,http://images.amazon.com/images/P/039480001X.01.MZZZZZZZ.jpg,"['childrens', 'picture', 'books', 'classics', 'fiction', 'poetry', 'fantasy', 'humor', 'animals', 'kids', 'cats', 'dr.seuss', 'the', 'cat', 'in', 'the', 'hat', '#1']"
200,American Gods,Neil Gaiman,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,"['fantasy', 'fiction', 'urban', 'fantasy', 'mythology', 'audiobook', 'science', 'fiction', 'science', 'fiction', 'fantasy', 'adult', 'contemporary', 'novels', 'neilgaiman', 'american', 'gods', '#1']"
201,Lonesome Dove,Larry McMurtry,http://images.amazon.com/images/P/067168390X.01.MZZZZZZZ.jpg,"['fiction', 'historical', 'fiction', 'westerns', 'classics', 'historical', 'adventure', 'novels', 'literature', 'audiobook', 'american', 'larrymcmurtry', 'lonesome', 'dove', '#1']"
204,Holes,LOUIS SACHAR,http://images.amazon.com/images/P/0440419468.01.MZZZZZZZ.jpg,"['young', 'adult', 'fiction', 'childrens', 'middle', 'grade', 'realistic', 'fiction', 'classics', 'mystery', 'adventure', 'school', 'contemporary', 'louissachar', 'holes', '#1']"
206,"The Lion, the Witch and the Wardrobe",C. S. Lewis,http://images.amazon.com/images/P/0027582000.01.MZZZZZZZ.jpg,"['fantasy', 'classics', 'fiction', 'young', 'adult', 'childrens', 'adventure', 'middle', 'grade', 'christian', 'magic', 'christian', 'fiction', 'c.s.lewis', 'the', 'chronicles', 'of', 'narnia', 'publication', 'order', '#1']"
208,Watchmen,Alan Moore,http://images.amazon.com/images/P/0930289234.01.MZZZZZZZ.jpg,"['graphic', 'novels', 'comics', 'fiction', 'science', 'fiction', 'fantasy', 'graphic', 'novels', 'comics', 'comic', 'book', 'classics', 'superheroes', 'dystopia', 'alanmoore', 'watchmen', '#1-12']"
210,The Divine Comedy,DANTE,http://images.amazon.com/images/P/0394701267.01.MZZZZZZZ.jpg,"['classics', 'poetry', 'fiction', 'literature', 'religion', 'philosophy', 'fantasy', 'italian', 'literature', 'italy', 'classic', 'literature', 'dante', 'la', 'divina', 'commedia', '#1-3']"
211,All Quiet on the Western Front,Erich Maria Remarque,http://images.amazon.com/images/P/0449213943.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'historical', 'fiction', 'war', 'historical', 'literature', 'school', 'german', 'literature', 'world', 'war', 'i', 'novels', 'erichmariaremarque', 'all', 'quiet', 'on', 'the', 'western', 'front/the', 'road', 'back', '#1']"
215,The Ultimate Hitchhiker's Guide to the Galaxy,DOUGLAS ADAMS,http://images.amazon.com/images/P/0345453743.01.MZZZZZZZ.jpg,"['science', 'fiction', 'fiction', 'humor', 'fantasy', 'classics', 'comedy', 'science', 'fiction', 'fantasy', 'adventure', 'novels', 'british', 'literature', 'douglasadams', 'the', ""hitchhiker's"", 'guide', 'to', 'the', 'galaxy', '#0.5-5']"
216,Atonement,Ian McEwan,http://images.amazon.com/images/P/0965404560.01.MZZZZZZZ.jpg,"['angels', 'ianmcewan', 'chronicles', 'of', 'the', 'fallen', '#3']"
220,The Three Musketeers,Alexandre Dumas,http://images.amazon.com/images/P/0451525949.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'historical', 'fiction', 'adventure', 'france', 'literature', 'historical', 'french', 'literature', 'classic', 'literature', 'novels', 'alexandredumas', 'the', ""d'artagnan"", 'romances', '#1']"
228,The Wonderful Wizard of Oz,Grace Frank Baum,http://images.amazon.com/images/P/0893759910.01.MZZZZZZZ.jpg,"['classics', 'fantasy', 'fiction', 'childrens', 'young', 'adult', 'adventure', 'audiobook', 'middle', 'grade', 'magic', 'literature', 'gracefrankbaum', 'oz', '#1']"
234,Goodnight Moon,Margaret Wise Brown,http://images.amazon.com/images/P/0064430170.01.MZZZZZZZ.jpg,"['childrens', 'picture', 'books', 'classics', 'fiction', 'poetry', 'kids', 'animals', 'juvenile', 'young', 'adult', 'storytime', 'margaretwisebrown', 'over', 'the', 'moon', '#2']"
237,The Good Earth,Pearl S. Buck,http://images.amazon.com/images/P/0671504371.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'historical', 'fiction', 'china', 'literature', 'historical', 'asia', 'novels', 'school', 'classic', 'literature', 'pearls.buck', 'house', 'of', 'earth', '#1']"
239,The Mists of Avalon,MARION ZIMMER BRADLEY,http://images.amazon.com/images/P/0345350499.01.MZZZZZZZ.jpg,"['fantasy', 'fiction', 'historical', 'fiction', 'arthurian', 'mythology', 'science', 'fiction', 'fantasy', 'historical', 'classics', 'romance', 'magic', 'marionzimmerbradley', 'avalon', '#1']"
243,The Clan of the Cave Bear,Jean M. Auel,http://images.amazon.com/images/P/0553381679.01.MZZZZZZZ.jpg,"['historical', 'fiction', 'fiction', 'fantasy', 'historical', 'classics', 'romance', 'adventure', 'prehistoric', 'adult', 'novels', 'jeanm.auel', ""earth's"", 'children', '#1']"
246,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg,"['fantasy', 'fiction', 'adult', 'science', 'fiction', 'fantasy', 'retellings', 'adult', 'fiction', 'magic', 'witches', 'fairy', 'tales', 'classics', 'gregorymaguire', 'the', 'wicked', 'years', '#1']"
247,Murder on the Orient Express,Agatha Christie,http://images.amazon.com/images/P/067170463X.01.MZZZZZZZ.jpg,"['mystery', 'classics', 'fiction', 'crime', 'mystery', 'thriller', 'audiobook', 'thriller', 'detective', 'adult', 'british', 'literature', 'agathachristie', 'hercule', 'poirot', '#10']"
253,His Dark Materials,Philip Pullman,http://images.amazon.com/images/P/185459768X.01.MZZZZZZZ.jpg,"['fantasy', 'young', 'adult', 'fiction', 'childrens', 'science', 'fiction', 'fantasy', 'science', 'fiction', 'adventure', 'classics', 'steampunk', 'magic', 'philippullman', 'his', 'dark', 'materials', '#1-3']"
254,The Other Boleyn Girl,Philippa Gregory,http://images.amazon.com/images/P/0743227441.01.MZZZZZZZ.jpg,"['historical', 'fiction', 'fiction', 'historical', 'romance', 'adult', 'british', 'literature', 'historical', 'romance', 'tudor', 'period', 'chick', 'lit', 'adult', 'fiction', 'philippagregory', 'the', 'plantagenet', 'and', 'tudor', 'novels', '#9']"
256,Jurassic Park,Michael Crichton,http://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg,"['science', 'fiction', 'fiction', 'thriller', 'adventure', 'fantasy', 'horror', 'classics', 'science', 'fiction', 'fantasy', 'dinosaurs', 'suspense', 'michaelcrichton', 'jurassic', 'park', '#1']"
263,Fallen,Celeste Bradley,http://images.amazon.com/images/P/0843948884.01.MZZZZZZZ.jpg,"['young', 'adult', 'fantasy', 'romance', 'paranormal', 'angels', 'paranormal', 'romance', 'fiction', 'supernatural', 'urban', 'fantasy', 'teen', 'celestebradley', 'fallen', '#1']"
265,The Silmarillion,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345325818.01.MZZZZZZZ.jpg,"['fantasy', 'fiction', 'classics', 'high', 'fantasy', 'science', 'fiction', 'fantasy', 'epic', 'fantasy', 'mythology', 'literature', 'novels', 'adventure', 'j.r.r.tolkien', 'middle-earth', 'universe']"
272,Catching Fire,Wynema McGowan,http://images.amazon.com/images/P/0786004622.01.MZZZZZZZ.jpg,"['young', 'adult', 'dystopia', 'fiction', 'fantasy', 'science', 'fiction', 'romance', 'adventure', 'teen', 'post', 'apocalyptic', 'action', 'wynemamcgowan', 'the', 'hunger', 'games', '#2']"
273,Cat's Cradle,Kurt Vonnegut,http://images.amazon.com/images/P/038533348X.01.MZZZZZZZ.jpg,"['historical', 'fiction', 'young', 'adult', 'historical', 'mystery', 'adventure', 'fiction', 'childrens', 'fantasy', 'middle', 'grade', 'action', 'kurtvonnegut', 'cat', 'royal', 'adventures', '#6']"
277,The Silence of the Lambs,Thomas Harris,http://images.amazon.com/images/P/0312195265.01.MZZZZZZZ.jpg,"['horror', 'fiction', 'thriller', 'mystery', 'crime', 'suspense', 'mystery', 'thriller', 'classics', 'novels', 'drama', 'thomasharris', 'hannibal', 'lecter', '#2']"
279,The Phantom of the Opera,Gaston Leroux,http://images.amazon.com/images/P/0446301205.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'romance', 'mystery', 'gastonleroux', 'oxford', 'bookworms:', 'stage', '1']"
284,Ella Enchanted,Gail Carson Levine,http://images.amazon.com/images/P/0590920685.01.MZZZZZZZ.jpg,"['fantasy', 'young', 'adult', 'fiction', 'romance', 'fairy', 'tales', 'childrens', 'middle', 'grade', 'retellings', 'magic', 'adventure', 'gailcarsonlevine', 'ella', 'enchanted', '#1']"
287,The Wind-Up Bird Chronicle,Haruki Murakami,http://images.amazon.com/images/P/0679775439.01.MZZZZZZZ.jpg,"['fiction', 'magical', 'realism', 'japan', 'japanese', 'literature', 'fantasy', 'contemporary', 'literature', 'novels', 'mystery', 'asia', 'harukimurakami', 'ねじまき鳥クロニクル', '#1-3']"
289,The Green Mile,Stephen King,http://images.amazon.com/images/P/0671032658.01.MZZZZZZZ.jpg,"['horror', 'fiction', 'fantasy', 'thriller', 'mystery', 'supernatural', 'paranormal', 'crime', 'drama', 'historical', 'fiction', 'stephenking', 'the', 'green', 'mile', '#1-6']"
292,Blindness,Jose Saramago,http://images.amazon.com/images/P/0151002517.01.MZZZZZZZ.jpg,"['fiction', 'dystopia', 'science', 'fiction', 'classics', 'novels', 'literature', 'portugal', 'horror', 'portuguese', 'literature', 'contemporary', 'josesaramago', 'blindness', '#1']"
294,The House of the Spirits,Isabel Allende,http://images.amazon.com/images/P/0553273914.01.MZZZZZZZ.jpg,"['fiction', 'magical', 'realism', 'historical', 'fiction', 'classics', 'fantasy', 'spanish', 'literature', 'literature', 'historical', 'novels', 'latin', 'american', 'isabelallende', 'del', 'valle', 'family', '#3']"
296,Howl's Moving Castle,Diana Wynne Jones,http://images.amazon.com/images/P/006441034X.01.MZZZZZZZ.jpg,"['fantasy', 'young', 'adult', 'fiction', 'romance', 'magic', 'middle', 'grade', 'childrens', 'adventure', 'classics', 'young', 'adult', 'fantasy', 'dianawynnejones', ""howl's"", 'moving', 'castle', '#1']"
298,Island of the Blue Dolphins,SCOTT O'DELL,http://images.amazon.com/images/P/0440439884.01.MZZZZZZZ.jpg,"['young', 'adult', 'fiction', 'historical', 'fiction', 'classics', 'childrens', 'middle', 'grade', 'adventure', 'historical', 'school', 'survival', ""scotto'dell"", 'island', 'of', 'the', 'blue', 'dolphins', '#1']"
305,The Vampire Lestat,Anne Rice,http://images.amazon.com/images/P/0394577051.01.MZZZZZZZ.jpg,"['horror', 'fantasy', 'vampires', 'fiction', 'paranormal', 'supernatural', 'urban', 'fantasy', 'gothic', 'historical', 'fiction', 'adult', 'annerice', 'the', 'vampire', 'chronicles', '#2']"
307,The Once and Future King,T. H. White,http://images.amazon.com/images/P/0441627404.01.MZZZZZZZ.jpg,"['fantasy', 'classics', 'fiction', 'historical', 'fiction', 'arthurian', 'mythology', 'science', 'fiction', 'fantasy', 'young', 'adult', 'literature', 'historical', 't.h.white', 'the', 'once', 'and', 'future', 'king', '#1-4']"
310,Neverwhere,Neil Gaiman,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,"['fantasy', 'fiction', 'urban', 'fantasy', 'science', 'fiction', 'fantasy', 'audiobook', 'science', 'fiction', 'adventure', 'horror', 'adult', 'young', 'adult', 'neilgaiman', 'london', 'below', 'the', 'world', 'of', 'neverwhere', '#1']"
315,Into the Wild,Jon Krakauer,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,"['fantasy', 'animals', 'fiction', 'young', 'adult', 'middle', 'grade', 'childrens', 'adventure', 'cats', 'juvenile', 'animal', 'fiction', 'jonkrakauer', 'warriors', '#1']"
318,Inkheart,Cornelia Funke,http://images.amazon.com/images/P/0439531640.01.MZZZZZZZ.jpg,"['fantasy', 'young', 'adult', 'fiction', 'childrens', 'middle', 'grade', 'adventure', 'magic', 'books', 'about', 'books', 'young', 'adult', 'fantasy', 'audiobook', 'corneliafunke', 'inkworld', '#1']"
319,The Complete Sherlock Holmes,ARTHUR CONAN DOYLE,http://images.amazon.com/images/P/0517220784.01.MZZZZZZZ.jpg,"['classics', 'mystery', 'fiction', 'crime', 'short', 'stories', 'detective', 'literature', 'mystery', 'thriller', 'historical', 'fiction', 'thriller', 'arthurconandoyle', 'sherlock', 'holmes', '#1-9']"
320,Paradise Lost,J.A. Jance,http://images.amazon.com/images/P/0380804697.01.MZZZZZZZ.jpg,"['young', 'adult', 'mystery', 'romance', 'fiction', 'chick', 'lit', 'contemporary', 'boarding', 'school', 'teen', 'high', 'school', 'realistic', 'fiction', 'j.a.jance', 'private', '#9']"
323,All Creatures Great and Small,James Herriot,http://images.amazon.com/images/P/0553122509.01.MZZZZZZZ.jpg,"['nonfiction', 'animals', 'memoir', 'classics', 'biography', 'humor', 'autobiography', 'biography', 'memoir', 'british', 'literature', 'audiobook', 'jamesherriot', 'all', 'creatures', 'great', 'and', 'small', '#1-2']"
330,The Complete Works,William Shakespeare,http://images.amazon.com/images/P/0760703329.01.MZZZZZZZ.jpg,"['art', 'nonfiction', 'history', 'science', 'biography', 'reference', 'classics', 'art', 'history', 'philosophy', 'williamshakespeare', 'delphi', 'masters', 'of', 'art', '#1']"
334,Foundation,Issac Asimov,http://images.amazon.com/images/P/0385419503.01.MZZZZZZZ.jpg,"['science', 'fiction', 'fiction', 'classics', 'science', 'fiction', 'fantasy', 'fantasy', 'space', 'opera', 'novels', 'space', 'audiobook', 'speculative', 'fiction', 'issacasimov', 'foundation', 'publication', 'order', '#1']"
335,Heidi,Johanna Spyri,http://images.amazon.com/images/P/0517618141.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'childrens', 'young', 'adult', 'historical', 'fiction', 'middle', 'grade', 'historical', 'juvenile', 'childrens', 'classics', '19th', 'century', 'johannaspyri', 'heidi', '#1-2']"
347,The Awakening,Kate Chopin,http://images.amazon.com/images/P/055321330X.01.MZZZZZZZ.jpg,"['young', 'adult', 'fantasy', 'paranormal', 'urban', 'fantasy', 'supernatural', 'romance', 'magic', 'werewolves', 'ghosts', 'fiction', 'katechopin', 'darkest', 'powers', '#2']"
354,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,http://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg,"['fiction', 'historical', 'fiction', 'lgbt', 'classics', 'chick', 'lit', 'southern', 'historical', 'humor', 'queer', 'adult', 'fiction', 'fannieflagg', 'whistle', 'stop', 'al', '#1']"
358,Things Fall Apart,Chinua Achebe,http://images.amazon.com/images/P/0030554381.01.MZZZZZZZ.jpg,"['fiction', 'classics', 'historical', 'fiction', 'africa', 'school', 'literature', 'novels', 'read', 'for', 'school', 'african', 'literature', 'nigeria', 'chinuaachebe', 'the', 'african', 'trilogy', '#1']"
365,Bridget Jones's Diary,Helen Fielding,http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,"['fiction', 'chick', 'lit', 'romance', 'humor', 'contemporary', 'adult', 'comedy', 'adult', 'fiction', 'british', 'literature', 'novels', 'helenfielding', 'bridget', 'jones', '#1']"
371,The Power of One,Bryce Courtenay,http://images.amazon.com/images/P/0394575202.01.MZZZZZZZ.jpg,"['fiction', 'historical', 'fiction', 'africa', 'classics', 'south', 'africa', 'coming', 'of', 'age', 'historical', 'young', 'adult', 'novels', 'book', 'club', 'brycecourtenay', 'the', 'power', 'of', 'one', '#1']"
377,The Magician's Nephew,C. S. Lewis,http://images.amazon.com/images/P/0020442300.01.MZZZZZZZ.jpg,"['fantasy', 'classics', 'fiction', 'young', 'adult', 'childrens', 'adventure', 'christian', 'middle', 'grade', 'christian', 'fiction', 'magic', 'c.s.lewis', 'the', 'chronicles', 'of', 'narnia', 'chronological', 'order', '#1']"
379,A Time to Kill,JOHN GRISHAM,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'legal', 'thriller', 'mystery', 'thriller', 'drama', 'novels', 'adult', 'fiction', 'johngrisham', 'jake', 'brigance', '#1']"
